,runtime,log_budget,log_revenue,log_popularity,log_vote_count,num_genres,is_english,is_adult,is_summer,is_holiday,is_friday_release,has_budget,has_revenue,budget_tier,is_major_studio,dir_avg_rating,dir_movie_count,dir_max_rating,dir_experienced,dir_avg_votes,num_keywords,num_prod_companies,release_month,release_quarter,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
887,124.0,0.0,14.461497994497224,2.068254196039259,5.568344503761097,3,0,0,0,0,0,0,1,0.0,0,6.443,1,6.443,0,261.0,0,8,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.443
888,97.0,0.0,0.0,2.72628296936327,5.568344503761097,2,0,0,0,0,1,0,0,0.0,0,7.238,1,7.238,0,261.0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.238
889,126.0,0.0,0.0,2.859282340416093,5.568344503761097,2,0,0,0,0,0,0,0,0.0,0,7.958,1,7.958,0,261.0,0,1,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.958
890,127.0,0.0,0.0,2.2848283714047866,5.564520407322694,1,0,0,0,1,0,0,0,0.0,0,7.402,1,7.402,0,260.0,2,5,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.402
891,119.0,0.0,0.0,2.3233676321765744,5.564520407322694,1,0,0,0,0,1,0,0,0.0,1,6.892,1,6.892,0,260.0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.892
892,87.0,0.0,12.890786868443733,1.9641709721354914,5.560681631015528,1,0,0,0,0,1,0,1,0.0,0,6.44,1,6.44,0,259.0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44
893,122.0,16.012735246411598,0.0,4.451447747785632,5.560681631015528,3,0,0,0,0,0,1,0,2.0,0,6.411,1,6.411,0,259.0,4,4,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.411
894,94.0,0.0,0.0,2.6718701936474534,5.556828061699537,2,0,0,0,0,1,0,0,0.0,0,6.665,1,6.665,0,258.0,5,2,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.665
895,97.0,0.0,0.0,3.378338087516073,5.556828061699537,3,0,0,0,1,1,0,0,0.0,0,5.74,1,5.74,0,258.0,10,2,11,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5.74
896,94.0,0.0,14.373331020982215,2.5499918964439345,5.556828061699537,2,1,0,0,1,0,0,1,0.0,0,5.8,1,5.8,0,258.0,1,6,11,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.8
897,91.0,16.811242881518265,16.37316142303122,7.344861162914793,5.556828061699537,4,1,0,1,0,0,1,1,3.0,0,6.816,1,6.816,0,258.0,7,3,8,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.816
898,95.0,0.0,0.0,2.2109083044221416,5.552959584921617,3,1,0,1,0,0,0,0,0.0,0,7.422,1,7.422,0,257.0,4,5,5,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.422
899,103.0,0.0,0.0,2.697056659627344,5.552959584921617,1,1,0,0,0,1,0,0,0.0,0,7.0,1,7.0,0,257.0,4,3,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
900,86.0,0.0,0.0,2.668338700865982,5.552959584921617,2,1,0,0,0,1,0,0,0.0,1,5.695,1,5.695,0,257.0,3,3,10,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.695
901,100.0,0.0,0.0,2.699076726303102,5.552959584921617,2,1,0,0,0,0,0,0,0.0,0,7.366,1,7.366,0,257.0,8,4,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.366
902,106.0,0.0,14.603968372873895,2.6016521103123904,5.552959584921617,2,0,0,0,1,0,0,1,0.0,0,6.99,1,6.99,0,257.0,7,2,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.99
